WM:PL, 1,2,3,4
WM:SC-PH, 5,6,7
WM:SC-TH, 8,9,10,11,12,13
WM:SC-ET, 14,15,16,17,18
WM:SC-BG, 19,20,21,22,23,24,25
WM:FR, 26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
WM:SM-MS, 49,50,51,52
WM:SM-AS, 53,54,55,56,57,58,59,60
WM:SM-PS, 61,62,63,64,65,66,67,68
WM:IN, 69,70,71,72,73,74,75,76,77,78
WM:TP, 79,80,81,82,83
WM:OT, 84,85,86,87
WM:CB, 88,89,90,91,92,93,94,95,96,97
GM:CB, 98,99,100,101,102,103,104,105,106,107,108,109,110
GM:VI-OT, 111,112,113,114,115,116
GM:VI-OC, 117,118,119,120,121,122
GM:PL, 123,124,125,126,127,128,129,130,131,132,133
GM:SC-EH, 134,135,136
GM:SC-ET, 137,138,139,140,141,142
GM:SC-BG, 143,144,145,146,147,148,149,150,151
GM:SM, 152,153,154,155,156,157,158,159,160,161,162,163,164,165
GM:HC-IT, 166,167,168,169,170,171,172
GM:HC-TP, 173,174,175,176,177
GM:HC-FR, 178,179,180,181,182,183,184,185,186,187
GM:TN-CE, 188,189,190
GM:TN-DM, 191,192,193,194,195,196,197,198
GM:TN-SA, 199,200,201,202
